KE: , 64 , PE: , -250 , total: , -186 , delta E: , -0 , t: , 2
KE: , 64.7652 , PE: , -250.765 , total: , -186 , delta E: , -1.52805e-16 , t: , 4
KE: , 67.0937 , PE: , -253.094 , total: , -186 , delta E: , -0 , t: , 6
KE: , 71.0877 , PE: , -257.088 , total: , -186 , delta E: , -1.52805e-16 , t: , 8
KE: , 76.9301 , PE: , -262.93 , total: , -186 , delta E: , -0 , t: , 10
KE: , 84.9053 , PE: , -270.905 , total: , -186 , delta E: , -0 , t: , 12
KE: , 95.4351 , PE: , -281.435 , total: , -186 , delta E: , -0 , t: , 14
KE: , 109.137 , PE: , -295.137 , total: , -186 , delta E: , -3.0561e-16 , t: , 16
KE: , 126.915 , PE: , -312.915 , total: , -186 , delta E: , -3.0561e-16 , t: , 18
KE: , 150.117 , PE: , -336.117 , total: , -186 , delta E: , -0 , t: , 20
KE: , 180.77 , PE: , -366.77 , total: , -186 , delta E: , -3.0561e-16 , t: , 22
KE: , 221.937 , PE: , -407.937 , total: , -186 , delta E: , -0 , t: , 24
KE: , 278.041 , PE: , -464.041 , total: , -186 , delta E: , -3.0561e-16 , t: , 26
KE: , 354.053 , PE: , -540.053 , total: , -186 , delta E: , 3.0561e-16 , t: , 28
KE: , 448.369 , PE: , -634.369 , total: , -186 , delta E: , 9.16829e-16 , t: , 30
KE: , 528.38 , PE: , -714.38 , total: , -186 , delta E: , 6.1122e-15 , t: , 32
KE: , 526.417 , PE: , -712.417 , total: , -186 , delta E: , 3.11722e-14 , t: , 34
KE: , 444.619 , PE: , -630.619 , total: , -186 , delta E: , 3.54507e-14 , t: , 36
KE: , 350.716 , PE: , -536.716 , total: , -186 , delta E: , 3.63676e-14 , t: , 38
KE: , 275.534 , PE: , -461.534 , total: , -186 , delta E: , 3.66732e-14 , t: , 40
KE: , 220.104 , PE: , -406.104 , total: , -186 , delta E: , 3.65204e-14 , t: , 42
KE: , 179.415 , PE: , -365.415 , total: , -186 , delta E: , 3.62148e-14 , t: , 44
KE: , 149.098 , PE: , -335.098 , total: , -186 , delta E: , 3.62148e-14 , t: , 46
KE: , 126.139 , PE: , -312.139 , total: , -186 , delta E: , 3.6062e-14 , t: , 48
KE: , 108.539 , PE: , -294.539 , total: , -186 , delta E: , 3.62148e-14 , t: , 50
KE: , 94.9745 , PE: , -280.974 , total: , -186 , delta E: , 3.6062e-14 , t: , 52
KE: , 84.5532 , PE: , -270.553 , total: , -186 , delta E: , 3.6062e-14 , t: , 54
KE: , 76.6671 , PE: , -262.667 , total: , -186 , delta E: , 3.62148e-14 , t: , 56
KE: , 70.9007 , PE: , -256.901 , total: , -186 , delta E: , 3.57563e-14 , t: , 58
KE: , 66.9738 , PE: , -252.974 , total: , -186 , delta E: , 3.57563e-14 , t: , 60
KE: , 64.7071 , PE: , -250.707 , total: , -186 , delta E: , 3.57563e-14 , t: , 62
KE: , 64.0011 , PE: , -250.001 , total: , -186 , delta E: , 3.54507e-14 , t: , 64
KE: , 64.8257 , PE: , -250.826 , total: , -186 , delta E: , 3.57563e-14 , t: , 66
KE: , 67.2161 , PE: , -253.216 , total: , -186 , delta E: , 3.57563e-14 , t: , 68
KE: , 71.2775 , PE: , -257.278 , total: , -186 , delta E: , 3.54507e-14 , t: , 70
KE: , 77.1962 , PE: , -263.196 , total: , -186 , delta E: , 3.54507e-14 , t: , 72
KE: , 85.2611 , PE: , -271.261 , total: , -186 , delta E: , 3.56035e-14 , t: , 74
KE: , 95.9005 , PE: , -281.901 , total: , -186 , delta E: , 3.57563e-14 , t: , 76
KE: , 109.74 , PE: , -295.74 , total: , -186 , delta E: , 3.6062e-14 , t: , 78
KE: , 127.7 , PE: , -313.7 , total: , -186 , delta E: , 3.54507e-14 , t: , 80
KE: , 151.146 , PE: , -337.146 , total: , -186 , delta E: , 3.54507e-14 , t: , 82
KE: , 182.14 , PE: , -368.14 , total: , -186 , delta E: , 3.56035e-14 , t: , 84
KE: , 223.793 , PE: , -409.793 , total: , -186 , delta E: , 3.51451e-14 , t: , 86
KE: , 280.579 , PE: , -466.579 , total: , -186 , delta E: , 3.54507e-14 , t: , 88
KE: , 357.421 , PE: , -543.421 , total: , -186 , delta E: , 3.57563e-14 , t: , 90
KE: , 452.105 , PE: , -638.105 , total: , -186 , delta E: , 3.66732e-14 , t: , 92
KE: , 530.209 , PE: , -716.209 , total: , -186 , delta E: , 4.15629e-14 , t: , 94
KE: , 524.324 , PE: , -710.324 , total: , -186 , delta E: , 6.54005e-14 , t: , 96
KE: , 440.859 , PE: , -626.859 , total: , -186 , delta E: , 6.99846e-14 , t: , 98
KE: , 347.411 , PE: , -533.411 , total: , -186 , delta E: , 6.90678e-14 , t: , 100
KE: , 273.056 , PE: , -459.056 , total: , -186 , delta E: , 6.9679e-14 , t: , 102
KE: , 218.292 , PE: , -404.292 , total: , -186 , delta E: , 6.98318e-14 , t: , 104
KE: , 178.075 , PE: , -364.075 , total: , -186 , delta E: , 6.92206e-14 , t: , 106
KE: , 148.091 , PE: , -334.091 , total: , -186 , delta E: , 6.95262e-14 , t: , 108
KE: , 125.37 , PE: , -311.37 , total: , -186 , delta E: , 6.9679e-14 , t: , 110
KE: , 107.947 , PE: , -293.947 , total: , -186 , delta E: , 6.99846e-14 , t: , 112
KE: , 94.5184 , PE: , -280.518 , total: , -186 , delta E: , 6.98318e-14 , t: , 114
KE: , 84.2048 , PE: , -270.205 , total: , -186 , delta E: , 6.99846e-14 , t: , 116
KE: , 76.4073 , PE: , -262.407 , total: , -186 , delta E: , 6.9679e-14 , t: , 118
KE: , 70.7164 , PE: , -256.716 , total: , -186 , delta E: , 6.95262e-14 , t: , 120
KE: , 66.8563 , PE: , -252.856 , total: , -186 , delta E: , 6.9679e-14 , t: , 122
KE: , 64.6512 , PE: , -250.651 , total: , -186 , delta E: , 6.99846e-14 , t: , 124
KE: , 64.0045 , PE: , -250.005 , total: , -186 , delta E: , 6.99846e-14 , t: , 126
KE: , 64.8884 , PE: , -250.888 , total: , -186 , delta E: , 6.98318e-14 , t: , 128
KE: , 67.341 , PE: , -253.341 , total: , -186 , delta E: , 6.9679e-14 , t: , 130
KE: , 71.4701 , PE: , -257.47 , total: , -186 , delta E: , 6.99846e-14 , t: , 132
KE: , 77.4655 , PE: , -263.465 , total: , -186 , delta E: , 6.99846e-14 , t: , 134
KE: , 85.6208 , PE: , -271.621 , total: , -186 , delta E: , 6.98318e-14 , t: , 136
KE: , 96.3706 , PE: , -282.371 , total: , -186 , delta E: , 7.01374e-14 , t: , 138
KE: , 110.35 , PE: , -296.35 , total: , -186 , delta E: , 6.98318e-14 , t: , 140
KE: , 128.493 , PE: , -314.493 , total: , -186 , delta E: , 7.01374e-14 , t: , 142
KE: , 152.186 , PE: , -338.186 , total: , -186 , delta E: , 6.99846e-14 , t: , 144
KE: , 183.526 , PE: , -369.526 , total: , -186 , delta E: , 7.02902e-14 , t: , 146
KE: , 225.672 , PE: , -411.672 , total: , -186 , delta E: , 7.07487e-14 , t: , 148
KE: , 283.147 , PE: , -469.147 , total: , -186 , delta E: , 7.02902e-14 , t: , 150
KE: , 360.819 , PE: , -546.819 , total: , -186 , delta E: , 7.02902e-14 , t: , 152
KE: , 455.825 , PE: , -641.825 , total: , -186 , delta E: , 7.09015e-14 , t: , 154
KE: , 531.901 , PE: , -717.901 , total: , -186 , delta E: , 7.88473e-14 , t: , 156
KE: , 522.107 , PE: , -708.107 , total: , -186 , delta E: , 9.96288e-14 , t: , 158
KE: , 437.092 , PE: , -623.092 , total: , -186 , delta E: , 1.01768e-13 , t: , 160
KE: , 344.137 , PE: , -530.137 , total: , -186 , delta E: , 1.02074e-13 , t: , 162
KE: , 270.608 , PE: , -456.608 , total: , -186 , delta E: , 1.02379e-13 , t: , 164
KE: , 216.501 , PE: , -402.501 , total: , -186 , delta E: , 1.01921e-13 , t: , 166
KE: , 176.751 , PE: , -362.751 , total: , -186 , delta E: , 1.02074e-13 , t: , 168
KE: , 147.094 , PE: , -333.094 , total: , -186 , delta E: , 1.02226e-13 , t: , 170
KE: , 124.609 , PE: , -310.609 , total: , -186 , delta E: , 1.02074e-13 , t: , 172
KE: , 107.361 , PE: , -293.361 , total: , -186 , delta E: , 1.02226e-13 , t: , 174
KE: , 94.067 , PE: , -280.067 , total: , -186 , delta E: , 1.02379e-13 , t: , 176
KE: , 83.8602 , PE: , -269.86 , total: , -186 , delta E: , 1.02685e-13 , t: , 178
KE: , 76.1507 , PE: , -262.151 , total: , -186 , delta E: , 1.02685e-13 , t: , 180
KE: , 70.5348 , PE: , -256.535 , total: , -186 , delta E: , 1.02685e-13 , t: , 182
KE: , 66.7413 , PE: , -252.741 , total: , -186 , delta E: , 1.02685e-13 , t: , 184
KE: , 64.5977 , PE: , -250.598 , total: , -186 , delta E: , 1.02685e-13 , t: , 186
KE: , 64.0102 , PE: , -250.01 , total: , -186 , delta E: , 1.02685e-13 , t: , 188
KE: , 64.9536 , PE: , -250.954 , total: , -186 , delta E: , 1.02685e-13 , t: , 190
KE: , 67.4683 , PE: , -253.468 , total: , -186 , delta E: , 1.02532e-13 , t: , 192
KE: , 71.6654 , PE: , -257.665 , total: , -186 , delta E: , 1.02226e-13 , t: , 194
KE: , 77.738 , PE: , -263.738 , total: , -186 , delta E: , 1.02074e-13 , t: , 196
KE: , 85.9844 , PE: , -271.984 , total: , -186 , delta E: , 1.02226e-13 , t: , 198
KE: , 96.8455 , PE: , -282.846 , total: , -186 , delta E: , 1.02379e-13 , t: , 200
KE: , 110.966 , PE: , -296.966 , total: , -186 , delta E: , 1.01768e-13 , t: , 202
KE: , 129.294 , PE: , -315.294 , total: , -186 , delta E: , 1.02074e-13 , t: , 204
KE: , 153.238 , PE: , -339.238 , total: , -186 , delta E: , 1.02074e-13 , t: , 206
KE: , 184.928 , PE: , -370.928 , total: , -186 , delta E: , 1.02685e-13 , t: , 208
KE: , 227.573 , PE: , -413.573 , total: , -186 , delta E: , 1.02226e-13 , t: , 210
KE: , 285.746 , PE: , -471.746 , total: , -186 , delta E: , 1.02379e-13 , t: , 212
KE: , 364.247 , PE: , -550.247 , total: , -186 , delta E: , 1.02685e-13 , t: , 214
KE: , 459.523 , PE: , -645.523 , total: , -186 , delta E: , 1.02379e-13 , t: , 216
KE: , 533.451 , PE: , -719.451 , total: , -186 , delta E: , 1.08186e-13 , t: , 218
KE: , 519.769 , PE: , -705.769 , total: , -186 , delta E: , 1.26522e-13 , t: , 220
KE: , 433.32 , PE: , -619.32 , total: , -186 , delta E: , 1.28356e-13 , t: , 222
KE: , 340.895 , PE: , -526.895 , total: , -186 , delta E: , 1.27439e-13 , t: , 224
KE: , 268.189 , PE: , -454.189 , total: , -186 , delta E: , 1.26828e-13 , t: , 226
KE: , 214.732 , PE: , -400.732 , total: , -186 , delta E: , 1.26981e-13 , t: , 228
KE: , 175.441 , PE: , -361.441 , total: , -186 , delta E: , 1.27134e-13 , t: , 230
KE: , 146.108 , PE: , -332.108 , total: , -186 , delta E: , 1.26522e-13 , t: , 232
KE: , 123.856 , PE: , -309.856 , total: , -186 , delta E: , 1.26828e-13 , t: , 234
KE: , 106.781 , PE: , -292.781 , total: , -186 , delta E: , 1.26522e-13 , t: , 236
KE: , 93.6201 , PE: , -279.62 , total: , -186 , delta E: , 1.26828e-13 , t: , 238
KE: , 83.5193 , PE: , -269.519 , total: , -186 , delta E: , 1.26522e-13 , t: , 240
KE: , 75.8971 , PE: , -261.897 , total: , -186 , delta E: , 1.26217e-13 , t: , 242
KE: , 70.3559 , PE: , -256.356 , total: , -186 , delta E: , 1.26217e-13 , t: , 244
KE: , 66.6288 , PE: , -252.629 , total: , -186 , delta E: , 1.26217e-13 , t: , 246
KE: , 64.5466 , PE: , -250.547 , total: , -186 , delta E: , 1.26217e-13 , t: , 248
KE: , 64.0182 , PE: , -250.018 , total: , -186 , delta E: , 1.26217e-13 , t: , 250
KE: , 65.021 , PE: , -251.021 , total: , -186 , delta E: , 1.26064e-13 , t: , 252
KE: , 67.5982 , PE: , -253.598 , total: , -186 , delta E: , 1.26217e-13 , t: , 254
KE: , 71.8635 , PE: , -257.863 , total: , -186 , delta E: , 1.26217e-13 , t: , 256
KE: , 78.0137 , PE: , -264.014 , total: , -186 , delta E: , 1.26217e-13 , t: , 258
KE: , 86.3518 , PE: , -272.352 , total: , -186 , delta E: , 1.2637e-13 , t: , 260
KE: , 97.3252 , PE: , -283.325 , total: , -186 , delta E: , 1.26522e-13 , t: , 262
KE: , 111.588 , PE: , -297.588 , total: , -186 , delta E: , 1.26217e-13 , t: , 264
KE: , 130.103 , PE: , -316.103 , total: , -186 , delta E: , 1.2637e-13 , t: , 266
KE: , 154.301 , PE: , -340.301 , total: , -186 , delta E: , 1.26217e-13 , t: , 268
KE: , 186.346 , PE: , -372.346 , total: , -186 , delta E: , 1.26217e-13 , t: , 270
KE: , 229.497 , PE: , -415.497 , total: , -186 , delta E: , 1.2637e-13 , t: , 272
KE: , 288.376 , PE: , -474.376 , total: , -186 , delta E: , 1.26217e-13 , t: , 274
KE: , 367.704 , PE: , -553.704 , total: , -186 , delta E: , 1.26522e-13 , t: , 276
KE: , 463.197 , PE: , -649.197 , total: , -186 , delta E: , 1.26522e-13 , t: , 278
KE: , 534.856 , PE: , -720.856 , total: , -186 , delta E: , 1.34468e-13 , t: , 280
KE: , 517.315 , PE: , -703.315 , total: , -186 , delta E: , 1.4547e-13 , t: , 282
KE: , 429.548 , PE: , -615.548 , total: , -186 , delta E: , 1.47304e-13 , t: , 284
KE: , 337.685 , PE: , -523.685 , total: , -186 , delta E: , 1.4761e-13 , t: , 286
KE: , 265.8 , PE: , -451.8 , total: , -186 , delta E: , 1.4761e-13 , t: , 288
KE: , 212.983 , PE: , -398.983 , total: , -186 , delta E: , 1.48068e-13 , t: , 290
KE: , 174.146 , PE: , -360.146 , total: , -186 , delta E: , 1.47915e-13 , t: , 292
KE: , 145.132 , PE: , -331.132 , total: , -186 , delta E: , 1.47915e-13 , t: , 294
KE: , 123.11 , PE: , -309.11 , total: , -186 , delta E: , 1.47915e-13 , t: , 296
KE: , 106.207 , PE: , -292.207 , total: , -186 , delta E: , 1.47915e-13 , t: , 298
KE: , 93.1778 , PE: , -279.178 , total: , -186 , delta E: , 1.47762e-13 , t: , 300
KE: , 83.1821 , PE: , -269.182 , total: , -186 , delta E: , 1.47457e-13 , t: , 302
KE: , 75.6466 , PE: , -261.647 , total: , -186 , delta E: , 1.47304e-13 , t: , 304
KE: , 70.1797 , PE: , -256.18 , total: , -186 , delta E: , 1.4761e-13 , t: , 306
KE: , 66.5187 , PE: , -252.519 , total: , -186 , delta E: , 1.4761e-13 , t: , 308
KE: , 64.4977 , PE: , -250.498 , total: , -186 , delta E: , 1.47457e-13 , t: , 310
KE: , 64.0284 , PE: , -250.028 , total: , -186 , delta E: , 1.47915e-13 , t: , 312
KE: , 65.0908 , PE: , -251.091 , total: , -186 , delta E: , 1.47762e-13 , t: , 314
KE: , 67.7306 , PE: , -253.731 , total: , -186 , delta E: , 1.47304e-13 , t: , 316
KE: , 72.0644 , PE: , -258.064 , total: , -186 , delta E: , 1.47915e-13 , t: , 318
KE: , 78.2927 , PE: , -264.293 , total: , -186 , delta E: , 1.4761e-13 , t: , 320
KE: , 86.7231 , PE: , -272.723 , total: , -186 , delta E: , 1.47457e-13 , t: , 322
KE: , 97.8098 , PE: , -283.81 , total: , -186 , delta E: , 1.47304e-13 , t: , 324
KE: , 112.217 , PE: , -298.217 , total: , -186 , delta E: , 1.47457e-13 , t: , 326
KE: , 130.92 , PE: , -316.92 , total: , -186 , delta E: , 1.4761e-13 , t: , 328
KE: , 155.376 , PE: , -341.376 , total: , -186 , delta E: , 1.47762e-13 , t: , 330
KE: , 187.781 , PE: , -373.781 , total: , -186 , delta E: , 1.47151e-13 , t: , 332
KE: , 231.445 , PE: , -417.445 , total: , -186 , delta E: , 1.46998e-13 , t: , 334
KE: , 291.037 , PE: , -477.037 , total: , -186 , delta E: , 1.47304e-13 , t: , 336
KE: , 371.19 , PE: , -557.19 , total: , -186 , delta E: , 1.4761e-13 , t: , 338
KE: , 466.842 , PE: , -652.842 , total: , -186 , delta E: , 1.4761e-13 , t: , 340
KE: , 536.112 , PE: , -722.112 , total: , -186 , delta E: , 1.54027e-13 , t: , 342
KE: , 514.752 , PE: , -700.752 , total: , -186 , delta E: , 1.60751e-13 , t: , 344
KE: , 425.777 , PE: , -611.777 , total: , -186 , delta E: , 1.61056e-13 , t: , 346
KE: , 334.508 , PE: , -520.508 , total: , -186 , delta E: , 1.60751e-13 , t: , 348
KE: , 263.439 , PE: , -449.439 , total: , -186 , delta E: , 1.61668e-13 , t: , 350
KE: , 211.256 , PE: , -397.256 , total: , -186 , delta E: , 1.61515e-13 , t: , 352
KE: , 172.865 , PE: , -358.865 , total: , -186 , delta E: , 1.61362e-13 , t: , 354
KE: , 144.167 , PE: , -330.167 , total: , -186 , delta E: , 1.61056e-13 , t: , 356
KE: , 122.372 , PE: , -308.372 , total: , -186 , delta E: , 1.61209e-13 , t: , 358
KE: , 105.639 , PE: , -291.639 , total: , -186 , delta E: , 1.61209e-13 , t: , 360
KE: , 92.74 , PE: , -278.74 , total: , -186 , delta E: , 1.60751e-13 , t: , 362
KE: , 82.8485 , PE: , -268.848 , total: , -186 , delta E: , 1.60751e-13 , t: , 364
KE: , 75.3992 , PE: , -261.399 , total: , -186 , delta E: , 1.60751e-13 , t: , 366
KE: , 70.0062 , PE: , -256.006 , total: , -186 , delta E: , 1.60598e-13 , t: , 368
KE: , 66.411 , PE: , -252.411 , total: , -186 , delta E: , 1.60445e-13 , t: , 370
KE: , 64.4511 , PE: , -250.451 , total: , -186 , delta E: , 1.60445e-13 , t: , 372
KE: , 64.0409 , PE: , -250.041 , total: , -186 , delta E: , 1.60445e-13 , t: , 374
KE: , 65.1629 , PE: , -251.163 , total: , -186 , delta E: , 1.60598e-13 , t: , 376
KE: , 67.8655 , PE: , -253.865 , total: , -186 , delta E: , 1.60751e-13 , t: , 378
KE: , 72.2681 , PE: , -258.268 , total: , -186 , delta E: , 1.60292e-13 , t: , 380
KE: , 78.5749 , PE: , -264.575 , total: , -186 , delta E: , 1.60445e-13 , t: , 382
KE: , 87.0983 , PE: , -273.098 , total: , -186 , delta E: , 1.60751e-13 , t: , 384
KE: , 98.2993 , PE: , -284.299 , total: , -186 , delta E: , 1.60598e-13 , t: , 386
KE: , 112.852 , PE: , -298.852 , total: , -186 , delta E: , 1.60445e-13 , t: , 388
KE: , 131.746 , PE: , -317.746 , total: , -186 , delta E: , 1.60751e-13 , t: , 390
KE: , 156.462 , PE: , -342.462 , total: , -186 , delta E: , 1.60904e-13 , t: , 392
KE: , 189.232 , PE: , -375.232 , total: , -186 , delta E: , 1.60598e-13 , t: , 394
KE: , 233.416 , PE: , -419.416 , total: , -186 , delta E: , 1.60445e-13 , t: , 396
KE: , 293.73 , PE: , -479.73 , total: , -186 , delta E: , 1.6014e-13 , t: , 398
KE: , 374.703 , PE: , -560.703 , total: , -186 , delta E: , 1.6014e-13 , t: , 400
KE: , 470.455 , PE: , -656.455 , total: , -186 , delta E: , 1.6014e-13 , t: , 402
KE: , 537.217 , PE: , -723.217 , total: , -186 , delta E: , 1.65641e-13 , t: , 404
KE: , 512.082 , PE: , -698.082 , total: , -186 , delta E: , 1.67474e-13 , t: , 406
KE: , 422.01 , PE: , -608.01 , total: , -186 , delta E: , 1.65946e-13 , t: , 408
KE: , 331.363 , PE: , -517.363 , total: , -186 , delta E: , 1.67169e-13 , t: , 410
KE: , 261.106 , PE: , -447.106 , total: , -186 , delta E: , 1.67169e-13 , t: , 412
KE: , 209.549 , PE: , -395.549 , total: , -186 , delta E: , 1.6778e-13 , t: , 414
KE: , 171.599 , PE: , -357.599 , total: , -186 , delta E: , 1.67169e-13 , t: , 416
KE: , 143.212 , PE: , -329.212 , total: , -186 , delta E: , 1.67169e-13 , t: , 418
KE: , 121.642 , PE: , -307.642 , total: , -186 , delta E: , 1.67474e-13 , t: , 420
KE: , 105.076 , PE: , -291.076 , total: , -186 , delta E: , 1.67474e-13 , t: , 422
KE: , 92.3066 , PE: , -278.307 , total: , -186 , delta E: , 1.67474e-13 , t: , 424
KE: , 82.5185 , PE: , -268.519 , total: , -186 , delta E: , 1.6778e-13 , t: , 426
KE: , 75.1548 , PE: , -261.155 , total: , -186 , delta E: , 1.67933e-13 , t: , 428
KE: , 69.8353 , PE: , -255.835 , total: , -186 , delta E: , 1.67933e-13 , t: , 430
KE: , 66.3058 , PE: , -252.306 , total: , -186 , delta E: , 1.68085e-13 , t: , 432
KE: , 64.4068 , PE: , -250.407 , total: , -186 , delta E: , 1.68085e-13 , t: , 434
KE: , 64.0557 , PE: , -250.056 , total: , -186 , delta E: , 1.68238e-13 , t: , 436
KE: , 65.2374 , PE: , -251.237 , total: , -186 , delta E: , 1.68391e-13 , t: , 438
KE: , 68.0029 , PE: , -254.003 , total: , -186 , delta E: , 1.68391e-13 , t: , 440
KE: , 72.4746 , PE: , -258.475 , total: , -186 , delta E: , 1.68391e-13 , t: , 442
KE: , 78.8604 , PE: , -264.86 , total: , -186 , delta E: , 1.68238e-13 , t: , 444
KE: , 87.4775 , PE: , -273.478 , total: , -186 , delta E: , 1.68238e-13 , t: , 446
KE: , 98.7938 , PE: , -284.794 , total: , -186 , delta E: , 1.68391e-13 , t: , 448
KE: , 113.493 , PE: , -299.493 , total: , -186 , delta E: , 1.68085e-13 , t: , 450
KE: , 132.581 , PE: , -318.581 , total: , -186 , delta E: , 1.68544e-13 , t: , 452
KE: , 157.56 , PE: , -343.56 , total: , -186 , delta E: , 1.68238e-13 , t: , 454
KE: , 190.7 , PE: , -376.7 , total: , -186 , delta E: , 1.68238e-13 , t: , 456
KE: , 235.411 , PE: , -421.411 , total: , -186 , delta E: , 1.67933e-13 , t: , 458
KE: , 296.454 , PE: , -482.454 , total: , -186 , delta E: , 1.6778e-13 , t: , 460
KE: , 378.244 , PE: , -564.244 , total: , -186 , delta E: , 1.68085e-13 , t: , 462
KE: , 474.031 , PE: , -660.031 , total: , -186 , delta E: , 1.67169e-13 , t: , 464
KE: , 538.168 , PE: , -724.168 , total: , -186 , delta E: , 1.7053e-13 , t: , 466
KE: , 509.312 , PE: , -695.312 , total: , -186 , delta E: , 1.69308e-13 , t: , 468
KE: , 418.25 , PE: , -604.25 , total: , -186 , delta E: , 1.6778e-13 , t: , 470
KE: , 328.251 , PE: , -514.251 , total: , -186 , delta E: , 1.6778e-13 , t: , 472
KE: , 258.801 , PE: , -444.801 , total: , -186 , delta E: , 1.68085e-13 , t: , 474
KE: , 207.861 , PE: , -393.861 , total: , -186 , delta E: , 1.67933e-13 , t: , 476
KE: , 170.347 , PE: , -356.347 , total: , -186 , delta E: , 1.68085e-13 , t: , 478
KE: , 142.266 , PE: , -328.266 , total: , -186 , delta E: , 1.68085e-13 , t: , 480
KE: , 120.919 , PE: , -306.919 , total: , -186 , delta E: , 1.67933e-13 , t: , 482
KE: , 104.519 , PE: , -290.519 , total: , -186 , delta E: , 1.6778e-13 , t: , 484
KE: , 91.8776 , PE: , -277.878 , total: , -186 , delta E: , 1.68085e-13 , t: , 486
KE: , 82.1921 , PE: , -268.192 , total: , -186 , delta E: , 1.68085e-13 , t: , 488
KE: , 74.9135 , PE: , -260.913 , total: , -186 , delta E: , 1.68085e-13 , t: , 490
KE: , 69.6671 , PE: , -255.667 , total: , -186 , delta E: , 1.68085e-13 , t: , 492
KE: , 66.2029 , PE: , -252.203 , total: , -186 , delta E: , 1.68697e-13 , t: , 494
KE: , 64.3648 , PE: , -250.365 , total: , -186 , delta E: , 1.68544e-13 , t: , 496
KE: , 64.0728 , PE: , -250.073 , total: , -186 , delta E: , 1.68391e-13 , t: , 498
KE: , 65.3142 , PE: , -251.314 , total: , -186 , delta E: , 1.68391e-13 , t: , 500
